en,es
How are you all?,¿Cómo están todos?
The wicked witch cast a spell on the man and turned him into a bug.,La bruja malvada le lanzó un hechizo al hombre y lo convirtió en un insecto.
Only a few students understood the matter.,Solo unos pocos estudiantes entendieron la cuestión.
Sisterly love is among the strongest of all.,El amor de una hermana está entre los más sólidos de todos.
The girl said nothing.,La niña no dijo nada.
I was trying to hide my wrinkles.,Estaba intentando ocultar mis arrugas.
Tom told me that he didn't have to do that.,Tom me dijo que él no tenía que hacer eso.
I like your hair.,Me gusta tu pelo.
Tom was with Mary.,Tom estaba con Mary.
They felt disgraced by their son's wild behavior.,Ellos se sintieron avergonzados del mal comportamiento de su hijo.
The hat is yours.,El sombrero es tuyo.
I think his name is Tom.,Creo que su nombre es Tom.
Take your time. There's no rush.,"Tómate tu tiempo, no hay prisa."
Tom drank a glass of milk.,Tom se bebió un vaso de leche.
She opened the door and invited the young farmer in.,Ella abrió la puerta e invitó a entrar al joven granjero.
Do you need money?,¿Necesita dinero?
Why didn't you tell me Tom wasn't Canadian?,¿Por qué no me dijiste que Tom no era canadiense?
I don't intend to do that.,No trato de hacerlo.
They like to sing.,Les gusta cantar.
I like to go to the movies with my friends.,Me gusta ir al cine con mis amigos.
Tom isn't your average guy. He doesn't like things most guys like and he doesn't like to do things most men enjoy doing.,Tom no es el tipo promedio. A él no le gustan las cosas que a la mayoría les gusta y no le gusta hacer lo que los demás hombres disfrutan haciendo.
They will keep their promise.,Mantendrán su promesa.
I had chicken pox when I was a kid.,Yo tuve varicela cuando niño.
I told Tom the reason why I wouldn't be able to go.,Le conté a Tom la razón por la que no podría ir.
I haven't been able to sleep very well lately.,No he podido dormir bien últimamente.
I hate riding the subway.,Odio viajar en metro.
Two men met face to face.,Dos hombres se encontraron cara a cara.
The two towns are separated by a river.,Las dos ciudades están separadas por un río.
We should be there by noon.,Deberíamos de estar allá para mediodía.
People sometimes make illogical decisions.,A veces las personas toman decisiones ilógicas.
That's exactly what he wanted.,Eso es exactamente lo que él quería.
Tell Tom I'm not interested in the car he's trying to sell.,Decile a Tom que no estoy interesada en el auto que está intentando vender.
Tom wanted to start a new life.,Tom quería empezar una nueva vida.
He did it at his own risk.,Lo hizo a su cuenta y riesgo.
What is that thing?,¿Qué es esa cosa?
Everyone in her class likes her.,A todos en su clase les gusta ella.
Keep them.,Guárdalos.
Grab Tom.,Sujeta a Tom.
Tom deleted his account.,Tom borró su cuenta.
"If he keeps threatening you, then you should go to the police.","Si él te sigue amenazando, entonces deberías ir donde la policía."
I was expecting you last night.,Te estaba esperando anoche.
"First of all, I must say this.","Antes que nada, debo decir esto."
This building has 5 floors and 20 apartments.,Este edificio tiene 5 pisos y 20 apartamentos.
This dress is cheaper than yours.,Este vestido es más barato que el tuyo.
Where are the forks?,¿Dónde están los tenedores?
He has transferred all his knowledge to his son.,Él traspasó todo su conocimiento a su hijo.
I left my passport somewhere.,He dejado el pasaporte en alguna parte.
I told you not to tell anyone.,Te dije que no se lo dijeras a nadie.
There is nothing interesting in the newspaper today.,No hay nada interesante en el periódico de hoy.
She greeted me with a big smile.,Ella me recibió con una gran sonrisa.
Is there someone in the fitting room?,¿Hay alguien en el probador?
"When you're done, get out of here.","Cuando hayas acabado, vete de aquí."
I've received no reply from you yet.,Aún no he recibido tu respuesta.
Tom wanted to copy my homework.,Tom quería copiarme la tarea.
I spilled some fruit juice on my new shirt.,Derramé algo de jugo de fruta en mi camisa nueva.
I like your article.,Me gusta tu artículo.
I love the way you walk.,Me encanta vuestra manera de andar.
He went to America.,Él fue a América.
I don't think Tom will admit he doesn't know how to do that.,No creo que Tom admita que no tiene ni idea.
Who wants this?,¿Quién quiere esto?
This symphony is a real masterpiece.,Esta sinfonía es realmente una obra de arte.
Where's the car?,¿Dónde está el coche?
Tom is giving me the silent treatment again.,Tom me está ninguneando de nuevo.
These things aren't needed.,No necesitamos estas cosas.
You'll never take me alive!,¡Nunca me cogerás con vida!
I want you to stop.,Quiero que pares.
Tom was with Mary.,Tom estaba con Mary
I'll go get the broom.,Voy a coger la escoba.
We had to leave quickly.,Tuvimos que irnos corriendo.
The train pulled out exactly on time.,A la hora en punto el tren se puso en movimiento.
I can't see anything.,No veo nada.
They cried out together.,Ellos gritaron juntos.
Tom is studying ocular pathology.,Tom está estudiando patología ocular.
"Seen from the sky, the island was very beautiful.","Vista desde el cielo, la isla era preciosa."
He rejected our offer.,Rechazó nuestra oferta.
Are you sisters?,¿Son hermanas?
This sentence contains an error.,Esta oración contiene un error.
Tom doesn't believe Mary. He thinks she's lying.,"Tom no cree a María, piensa que miente."
The rain lasted the whole night.,La lluvia duró toda la noche.
The sun rises earlier in the summer.,El sol nace más temprano en el verano.
"You didn't tell Tom do that, did you?","No le pediste a Tom que hiciera eso, ¿no?"
I'm always moody.,Estoy siempre de mal humor.
They fought for freedom.,Ellos lucharon por la libertad.
Everyone here is afraid of you.,Aquí todo el mundo te tiene miedo.
You should've listened to me.,Deberías haberme escuchado.
Why don't you take off your coat?,¿Por qué no te quitas el abrigo?
You can look now.,Ahora puedes mirar.
My son is way too skinny.,Mi hijo está extremadamente delgado.
Use this one.,Utilizad este.
Lincoln was opposed to slavery.,Lincoln estaba en contra de la esclavitud.
That makes me happy.,Eso me hace feliz.
Where's the flea market going to be?,¿Dónde va a estar el mercadillo?
I didn't sleep a wink last night.,No pegué un ojo anoche.
Japan is in Asia.,Japón está en Asia.
"If you can't fix the pipe, we'll have to call a plumber.","Si tú no puedes arreglar la tubería, tendremos que llamar a un fontanero."
The noise bothers me.,El ruido me jode.
Say the alphabet backwards.,Recita el alfabeto al revés.
It doesn't matter.,No importa.
Tom isn't eating an apple.,Tom no está comiendo una manzana.
I'll give you a prescription.,Te entregaré una prescripción médica.
I'm listening.,Te escucharé.
The woman sitting over there is his present wife.,La mujer que se sienta allí es su esposa actual.
Let's go sit in the shade.,Vamos a sentarnos a la sombra.
You are easily distracted.,Te distraes con facilidad.
Do you anticipate any problems?,¿Prevés problemas?
Have you lost your mind?,¿Habéis perdido la cabeza?
I'm not telling you.,No te lo voy a decir.
I saw Tom hit Mary.,Vi a Tom pegarle a Mary.
Did you meet her?,¿Te encontraste con ella?
He broke two ribs and punctured his lung.,Él se rompió dos costillas y se perforó el pulmón.
The climate in Japan is milder than in England.,El clima en Japón es más templado que en Inglaterra.
I want a book.,Quisiera un libro.
See you guys later.,"¡Hasta luego, muchachada!"
Water makes up most of the earth's surface.,El agua cubre la mayor parte de la superficie de la tierra.
I need to make sure Tom gets paid.,Necesito asegurarme que le paguen a Tom.
I know someone needs to tell Tom about Mary's death. Does it have to be me?,Entiendo que alguien tiene que contarle a Tom lo de la muerte de Mary. ¿Tengo que ser yo?
I never get mad.,Nunca me enfado.
How many times a week do you swim?,¿Cuántas veces a la semana nadas?
I don't have a salary because I don't have a job.,No tengo un sueldo porque no tengo empleo.
I don't go to the movies as often as I'd like.,No voy al cine tan frecuentemente como me gustaría.
I'd like to talk to one of your guests.,Me gustaría hablar con uno de tus invitados.
She didn't run fast enough to catch the bus.,Ella no corrió lo suficientemente rápido para alcanzar el autobús.
You should help your father.,Deberías ayudar a tu padre.
Tom went through the tunnel.,Tom atravesó el túnel.
I'm sorry for what I have done.,Me arrepiento de lo que hice.
She introduced her sister to him.,Ella le presentó a su hermana.
People make mistakes in a situation like this.,En una situación así se cometen errores.
I heard that they have a lot of problems with the tunnels in New Zealand.,Escuché que tienen muchos problemas con los túneles en Nueva Zelanda.
We want the same thing.,Queremos la misma cosa.
I don't think he can help you.,Yo no creo que él pueda ayudarte.
You need to exercise more.,Deberías hacer más ejercicio.
I'm married.,Estoy casada.
I am not going anywhere on Sunday.,El domingo no voy a ir a ningún lado.
It seems I'm going to be up all night tonight.,Parece que hoy voy a pasar la noche en vela.
I want to be on the other team.,Quiero estar en el otro equipo.
Life is so unfair.,La vida es tan injusta.
The gasoline tank was underneath.,En la parte inferior iba el depósito de gasolina.
We're having guests tomorrow night.,Tenemos invitados mañana por la noche.
She was still clinging to the hope that her dog would be found alive.,Ella aún se aferraba a la esperanza de encontraran a su perro con vida.
I don't know why Tom hates me so much.,No sé por qué me odia tanto Tom.
They said they were dissatisfied with their low wages.,Dijeron que estaban insatisfechos con sus bajos salarios.
Is it poisonous?,¿Es venenoso?
I spent the whole afternoon chatting with friends.,Pasé toda la tarde hablando con unos amigos.
I'm as curious as you are.,Estoy tan intrigado como tú.
Do you have a return ticket to Japan?,¿Tiene un pasaje de vuelta a Japón?
The problem is you're not Canadian.,El problema es que tú no eres canadiense.
Tom helped us a lot.,Tom nos ayudó mucho.
Would you teach me how to make cheese?,¿Me enseñarías a hacer queso?
I've got a long way to go.,Tengo un largo camino por delante.
The rain lasted through the night.,La lluvia duró toda la noche.
Somehow I doubt it.,"Por alguna razón, lo dudo."
Tom could barely hear what Mary was trying to say.,Tom apenas podía oír lo que Mary intentaba decirle.
I was welcomed.,Fui bienvenido.
Who do you live with?,¿Con quiénes vives?
This is what you must do.,Esto es lo que tienes que hacer.
"Does Tom play tennis? ""Yes, he plays almost every day.""","¿Tom juega tenis? ""Sí, él juega casi cada día"""
I'm going to use your phone.,Voy a usar tu teléfono.
I'm so glad you showed up.,Me alegro mucho de que te hayas pasado.
They stopped talking.,Ellos pararon de hablar.
Please get dressed.,Vístase por favor.
I'm so happy for you both.,Estoy tan feliz por ustedes dos.
I need to understand the meaning of this sentence.,Tengo que entender el significado de esta frase.
She's busy.,Ella está ocupada.
Tom is a former paratrooper.,Tom es un antiguo paracaidista.
I have nightmares.,Tengo pesadillas.
I didn't know that you had a brother.,No sabía que tuvieras un hermano.
What did he ask you?,¿Qué te preguntó?
He saw Tom leave before the job was finished.,Él vio salir a Tom antes de que el trabajo terminara.
He went by bicycle.,Fue en bicicleta.
I'm doing the best I can.,Estoy haciendo lo mejor que puedo.
I was foolish enough to believe him.,Fui tan tonto que le creí.
Are those yours?,¿Son tuyas ésas?
It looks like a house.,Se parece a una casa.
Do you like the way the furniture is arranged?,¿Le agrada la colocación de los muebles?
I've got bad news.,Tengo malas noticias.
The earth revolves on its axis once every 24 hours.,La Tierra gira alrededor de su eje una vez cada 24 horas.
I don't like being home alone.,No me gusta estar solo en casa.
He told me an interesting story.,Me contó una historia interesante.
Tom doesn't care what other people think.,A Tom no le interesa lo que los demás piensen.
Would you go tomorrow if I went with you?,¿Irías mañana si yo fuera contigo?
I know what you're going to say.,Sé qué vais a decir.
The old church by the lake is very beautiful.,La iglesia vieja que está al lado del lago es muy bonita.
Is Tom a Canadian citizen?,¿Es Tom ciudadano canadiense?
Mary asked her son to behave himself.,Mary pidió a su hijo que se portara bien.
Don't leave me hanging like you did the other day.,No me dejes tirada como el otro día.
Did you want to drive?,¿Quisiste conducir?
I thought I heard someone banging on the wall.,Me pareció oir a alguien golpeando la pared.
The walls supported the entire weight of the roof.,Las paredes soportaban todo el peso del techo.
I have an interest in cello and piano.,Me interesan el chelo y el piano.
Mary screamed and fainted.,Mary chilló y se desmayó.
Her explanation of the problem was nonsense.,Su explicación del problema no tenía sentido.
It's as easy as ABC.,Es coser y cantar.
Tom boiled the potatoes.,Tom hirvió las papas.
What's your friend's name?,¿Cómo se llama tu amigo?
He is a famous artist.,Él es un artista famoso.
I paid cash for the car.,Pagué en efectivo el coche.
I'm not always at home on Sundays.,No siempre estoy en la casa los domingos.
A pre-dawn raid has netted a large stash of illegal steroids and several bags of cash.,Una incursión antes del amanecer ha incautado una gran reserva de esteroides ilegales y varias bolsas de dinero en efectivo.
Do you know what day it is?,¿Sabes qué día es?
Can all birds fly?,¿Todos los pájaros pueden volar?
Tom would like to speak to you in private.,A Tom le gustaría hablar contigo en privado.
These products are selling like hot cakes.,Estos productos se venden como pan caliente.
Let's go to the flea market tomorrow.,Vayamos mañana al mercadillo.
"Don't worry, I won't bite.","No se preocupen, no muerdo."
A lot of young people went to Hawaii this summer.,Mucha gente joven fue a Hawái este verano.
I always fail.,Siempre fracaso.
Tom was frightened and didn't want to be left alone.,Tom estaba asustado y no quería que lo dejaran solo.
I saw the students cleaning their classroom after school.,Vi a los estudiantes limpiando sus salas después de clases.
Look at me when I'm speaking to you.,"¡Mírame, que estoy hablando contigo!"
My life was in danger.,Mi vida estaba en peligro.
What she says may be true.,Lo que ella dice podría ser verdad.
May I eat a little of it?,¿Puedo comer un poco?
"Bread is made from flour, water and yeast.","El pan se hace con harina, agua y levadura."
Your pulse is a little fast.,Tu pulso está un poco acelerado.
Tom laughed out loud when he saw Mary's outfit.,Tom se rio a carcajadas cuando vio el traje de Mary.
I want you to do what you have to do.,Quiero que hagas lo que tenés que hacer.
They don't even know why.,Ni siquiera saben por qué.
It's broken.,Está roto.
It's hard to get people to change.,Es difícil que la gente cambie.
This product is well-designed.,Este producto está bien diseñado.
"Stick together as a family, because it's easy to get lost.","Quedaos junto a vuestra familia, es fácil perderse."
He wore old shoes.,Él usaba zapatos viejos.
It's better if you wash your hands before you eat.,Conviene que te laves las manos antes de comer.
We want Tom on our team.,Queremos a Tom en nuestro equipo.
Don't fight with me.,No pelees conmigo.
All the fruit went bad.,Toda la fruta se estropeó.
"She left Japan, never to return home again.","Se fue de Japón, para nunca más volver."
I hit Tom.,Golpeé a Tom.
I have a bad stomachache.,Tengo mucho dolor de estómago.
I don't want to live my life like this.,No quiero vivir mi vida así.
You're in danger.,Estás en peligro.
Do you have a better idea?,¿Tienes una idea mejor?
My favorite pastime is strolling along the shore.,Mi pasatiempo favorito es pasear por la orilla.
Tom is going on a picnic tomorrow with Mary.,Mañana Tom se irá de picnic con Mary.
Tom wished he had somebody to talk to.,Tom deseaba tener a alguien con quien platicar.
I'm a bit worried now.,Ahora estoy algo preocupado.
He can speak and write French.,Él puede hablar y escribir en francés.
I saw it in the store.,La vi en la tienda.
"I can hear you, but I can't see you.","Puedo oírte, pero no puedo verte."
Illness forced him to give up school.,La enfermedad lo forzó a abandonar la escuela.
Mary bought a present for her friend's daughter.,Mary compró un regalo para la hija de su amigo.
I'm proud of the way you handled yourself.,Estoy orgulloso del modo en que te comportaste.
We want to stay alive.,Queremos seguir viviendo.
Tom must be hungry.,Tom debe tener hambre.
The cupboard is full.,El armario está lleno.
"Could you call again later, please?",¿Me podrías llamar más tarde por favor?
Tom has been teaching us French.,Tom nos ha estado enseñando francés.
We're on our own.,Estamos solos.
I'm going to cook you a nice dinner.,Te voy a cocinar una deliciosa cena.
I don't like telling him the truth.,No me gusta decirle la verdad.
I'll be sixteen on my next birthday.,Cumpliré dieciséis en mi próximo cumpleaños.
We're on our way.,Estamos de camino.
I am sorry for what I did.,Lamento lo que hice.
We both are friends.,Los dos somos amigos.
"He will come with his wife, as is often the case with foreigners.","Vendrá con su esposa, como es el caso habitual con los extranjeros."
It is ten minutes before eleven.,Son las once menos diez.
He was not invited.,No lo invitaron.
"Apparently, I was wrong.","Al parecer, estaba equivocado."
I'm not ashamed that I'm poor.,No me avergüenza ser pobre.
He speaks Chinese fluently.,Él habla chino fluidamente.
I don't care about any of this.,No me importa nada de esto.
She blushed.,Ella se puso roja.
"Come on, let's try it.","Venga, vamos a intentarlo."
They didn't know what to do with him.,Ellas no sabían qué hacer con él.
How do you know how hard it is?,¿Cómo sabes qué tan difícil es?
Tom worked with Mary.,Tomás trabajaba con María.
I did exactly what I said I would do.,Hice exactamente lo que dije que haría.
I'm pleased to meet you.,Un placer conocerte.
Tom could have survived if the ambulance had arrived a little sooner.,Tom pudo haber sobrevivido si la ambulancia hubiera llegado un poco antes.
He always treats me like a child.,Él siempre me trata como a un niño.
"Then he got dressed, stuffed his lecture notes into his briefcase, and ran down the stairs.","Luego se vistió, metió sus apuntes de clase en la cartera y bajó corriendo las escaleras."
We had a secret meeting.,Tuvimos una reunión secreta.
"Open the window and let some fresh air into the room, please.","Abre la ventana y deja que entre aire fresco en la casa, por favor."
What are you celebrating?,¿Qué celebran?
My teachers like me.,Mis profesores me adoran.
Tom filled the bucket with water.,Tom llenó el cubo de agua.
Tom assumed that Mary knew why John was in the hospital.,Tom asumió que Mary sabía por qué John estaba en el hospital.
I received my birthday present.,Recibí mi regalo de cumpleaños.
I want another cup of coffee.,Quiero otra taza de café.
It makes no difference whether you go today or tomorrow.,Da lo mismo si vas hoy o mañana.
He was covered in mud from head to foot.,Él estaba cubierto de barro de la cabeza a los pies.
Do you want to go back to Boston?,¿Quieres volver a Boston?
Tom won't leave if you don't want him to.,Tom no se irá si tú no quieres que se vaya.
Tom wasn't with me.,Tom no estaba conmigo.
Where did Tom learn that?,¿En dónde aprendió Tom eso?
Tom put an engagement ring on Mary's finger.,Tom puso un anillo de compromiso en el dedo de María.
He won't leave us alone.,No nos va a dejar solos.
I can't find it anywhere.,No lo puedo encontrar por ninguna parte.
He seems to be asleep.,Parece estar dormido.
Can I see my son?,¿Puedo ver a mi hijo?
Will you wake me at seven?,¿Me despertarás a las siete?
Tom wasn't jealous.,Tom no estaba celoso.
It could be a sardine.,Puede que sea una sardina.
She wanted him to help her father.,Ella quería que él le ayudara a su padre.
It's much more convenient.,Es mucho más conveniente.
Make an offer.,Haz una oferta.
Let's do this first of all.,Hagamos esto antes que nada.
Remember what I tell you.,Recuerda bien lo que te digo.
"The cellar is ugly, dark, and stinky.","El sótano es feo, oscuro y apestoso."
She lay awake all night.,Se quedó despierta toda la noche.
Please close the window.,¡Por favor cierre la ventana!
"You can do whatever you want to do, of course.","Puedes hacer lo que quieras, por supuesto."
Are you in there?,¿Estás allí?
She talked him into quitting his job.,Ella lo convenció a que renunciara a su trabajo.
The boy isn't as bad as he seemed.,El niño no es tan malo como parecía.
Can you show me where you live on this map?,¿Me podés mostrar en este mapa dónde vivís?
I'd like to know why you did it.,Quisiera saber por qué lo hiciste.
You could see the entire city from the top of the Ferris wheel.,Desde lo alto de la noria se podía ver toda la ciudad.
He did well for a beginner.,Él lo hizo bien para un principiante.
Tom said that Mary was pretty good at playing the flute.,Tom dijo que Mary era muy buena para tocar la flauta.
I dreamed about you the day before yesterday.,Anteayer soñé contigo.
I've told you not to do that.,Ya te dije que no hicieras eso.
You're completely crazy.,Estás completamente loco.
We're only asking you to help us for a few hours.,Solo os estamos pidiendo que nos ayudéis durante unas pocas horas.
I'll wait for you in my room.,Te esperaré en mi habitación.
This is the best ink.,Ésta es la mejor tinta.
Tom didn't want to disappoint Mary.,Tom no quiso decepcionar a Mary.
Business is brisk now and we are up to the elbows in orders.,El negocio es dinámico ahora y estamos hasta los codos de pedidos.
"Tom asked me to do him a favor. However, I couldn't do what he asked.","Tom me pidió que le hiciera un favor. Sin embargo, no pude hacer lo que pedía."
Do you want to color with markers or colored pencils?,¿Quieres colorear con rotuladores o con lápices de colores?
We want to talk to Tom.,Queremos hablar con Tom.
Tom moved to Australia.,Tom se mudó a Australia.
What do you want to be?,¿Qué es lo que quieres ser?
Tom is Mary's stepfather.,Tom es el padrastro de Mary.
People are rich here.,La gente de aquí es rica.
Tom sat down next to Mary.,Tom se sentó junto a Mary.
I'm moving next month.,Me mudo el mes que viene.
He seems not to have realized its importance.,Él parece no haber comprendido su importancia.
I'm sure everything will work out just fine.,Estoy seguro de que todo saldrá bien.
Tom has changed a lot since high school.,Tom cambió un montón desde la secundaria.
Why did you have to go?,¿Por qué tuviste que marcharte?
"If he had studied harder, he would have passed the exam.","Si hubiera estudiado más, habría aprobado el examen."
He's just an amateur.,Él es solo un aficionado.
I saw the man get ganged up on.,Vi al hombre formar un grupo a su alrededor.
Tom needs the ladder.,Tom necesita la escalera.
Tom groaned.,Tom gimió.
Tom has washboard abs.,Tom tiene abdominales planos.
I'm just watching TV.,Sólo estoy viendo tele.
Please keep the windows open.,"Por favor, dejá las ventanas abiertas."
Where will you be?,¿Dónde estarás?
Religion was very important in the Middle Ages.,La religión era muy importante en la Edad Media.
I hope to graduate from university next spring.,Espero sacarme el graduado universitario la próxima primavera.
Tom was Mary's boyfriend before she met John.,Tom era el novio de Mary antes de que ella conociera a John.
I fainted.,Quedé inconsciente.
Tom arrived in Boston last night.,Tom llegó a Boston anoche.
What's your position?,¿Qué piensas?
How many counties are there in Florida?,¿Cuántos condados hay en Florida?
I live in this house by myself.,Vivo en esta casa solo.
I'm very sorry to hear it.,Lamento escucharlo.
Can I pay for the book by check?,¿Puedo pagar el libro con un cheque?
Tom ignored Mary all morning.,Tom ignoró a Mary toda la mañana.
I feel sick.,Me siento mal.
Don't let your soup get cold.,No dejes que se te enfríe la sopa.
I'm not as rich as I once was.,No soy tan rico como era.
I'm sure of his success.,Estoy seguro de que él tendrá éxito.
This is the house where I was born.,Ésta es la casa donde nací.
Sometimes you're so unimaginative.,A veces eres más poco imaginativo.
A bird has wings.,Los pájaros tienen alas.
We have till tomorrow night to decide.,Tenemos hasta mañana por la noche para decidirnos.
It's a pity that you can't come.,Es una pena que no puedas venir.
It'll take me all day.,Me va a llevar todo el día.
Tom is old and clumsy.,Tom es viejo y torpe.
He was made to do it against his will.,Él se vio obligado a hacerlo en contra de su voluntad.
Your shelf is full of books.,Tu repisa está llena de libros.
There was a limousine waiting for Tom outside the hotel.,Había una limusina esperando a Tom afuera del hotel.
They made him work from morning till night.,Ellos lo hicieron trabajar desde la mañana hasta la noche.
I was dreaming about Tom.,Estaba soñando con Tom.
Tom will never notice the difference.,Tom no notará nunca la diferencia.
A large pillar obstructs the view of the lake.,Un gran pilar obstruye la vista al lago.
You look just like your older brother.,Eres igualito a tu hermano mayor.
You are not at all wrong.,No están equivocados del todo.
He has a robust constitution.,Él es de complexión fuerte.
No country has suffered as many earthquakes as Japan.,Ningún país ha sufrido tantos terremotos como Japón.
I'm sure that'll really be appreciated.,Estoy seguro de que eso será bien recibido.
Friends understand each other.,Los amigos se comprenden.
We studied more than 800 Chinese characters.,Estudiamos más de 800 letras chinas.
I'm about to have lunch.,Estoy a punto de almorzar.
I suppose it can't be helped.,Supongo que no puede evitarse.
We knelt down to pray.,Nos arrodillamos para rezar.
You're very lucky.,Tenéis mucha suerte.
Tom knows what you did.,Tomás sabe lo que hiciste.
Nobody heard the bell ring.,Nadie oyó sonar la campana.
I've got a bruise on my left leg.,Tengo un moretón en la pierna izquierda.
His aunt looks young.,Su tía parece joven.
We should work faster.,Deberíamos trabajar más rápido.
Tom takes good care of the birds.,Tom cuida bien de los pájaros.
Stop gossiping.,Dejen de copuchar.
"Mary looks like her mother, but her personality is different.",Mary se parece a su madre físicamente pero su personalidad es diferente.
"Oh, by the way, I have something for you.","Oh, por cierto, tengo algo para ti."
Please talk to me.,"Hablad conmigo, por favor."
"Tom took thousands of pictures during his vacation, but then never looked at them.","Tom tomó miles de fotos durante sus vacaciones, pero nunca las miró."
I know you'll agree with me.,Sé que estarás de acuerdo conmigo.
You hypocrite!,¡Hipócrita!
He devoted his whole life to science.,Consagró toda su vida a la ciencia.
Who's the woman in the brown coat?,¿Quién es la mujer del abrigo marrón?
We forced him to admit that he'd done it.,Le obligamos a confesar que lo había hecho.
I didn't find anything.,No he encontrado nada.
Are you bipolar?,¿Eres bipolar?
Are you sure that you haven't forgotten anything?,¿Estás seguro de que no te olvidas nada?
There's one left.,Queda uno.
I'm twelve.,Tengo doce años.
I think that's horrible.,Creo que eso es horrible.
They paid little attention to my words.,Prestaron poca atención a mis palabras.
You're doing fine.,Lo hacéis perfectamente.
I'll be back at 2:30.,Estaré de vuelta a las dos y media.
Will you help me?,¿Me ayudan?
That's just a waste of taxpayer money.,Eso es solo un derroche del dinero de los contribuyentes.
Maybe we should help Tom.,Tal vez debiéramos ayudar a Tom.
No one came.,Nadie vino.
She introduced me to him at the party.,Ella me presentó a él en la fiesta.
Tom has a funny accent.,Tom tiene un acento gracioso.
They must be Americans.,Tienen que ser estadounidenses.
Keep paddling.,Continúen remando.
I don't even know where Tom lives.,Ni siquiera sé dónde vive Tom.
The child is always begging for something.,El niño siempre está pidiendo algo.
We are disturbing him.,Nosotros estamos molestándole.
Tom can operate a forklift.,Tom sabe manejar una carretilla elevadora.
Do you want to be rich?,¿Quiere ser rico?
Summer is the season I like best.,El verano es la estación que más me gusta.
You're doing it right.,Lo estás haciendo bien.
You didn't seem to want that book.,No parecías desear aquel libro.
Tom doesn't want to talk about it.,Tom no quiere hablar de eso.
The bus stopped in every village.,El autobús paró en todos los pueblos.
Tom asked if there were any other options.,Tom preguntó si acaso había alguna otra opción.
I thought that you'd be proud of me.,Pensé que estarías orgulloso de mí.
It's been ten years since we last met.,Hace diez años que nos vimos por última vez.
They want Tom.,Quieren a Tom.
He promised he would tell us.,Él prometió contárnoslo.
The Zulu tribe in South Africa has its own language.,La tribu Zulu de Sudáfrica tiene su propia lengua.
Have you ever seen snow?,¿Has visto nieve alguna vez?
I think Tom is thirty years old.,Creo que Tomás tiene treinta años.
A fly does not fly into a shut mouth.,En boca cerrada no entran moscas.
Are you writing a letter?,¿Estáis escribiendo una carta?
I can win this time.,Puedo ganar esta vez.
They said yes.,Ellos dijeron que sí.
I'll understand.,Lo entenderé.
Our oldest son's name is Tom.,Nuestro hijo mayor se llama Tom.
"They did not know it was impossible, so they did it.","Ellos no sabían que era imposible, así que lo hicieron."
"The older we grow, the poorer our memory becomes.",Nuestra memoria empeora a medida que nos hacemos más viejos.
I can carry those suitcases for you.,Puedo llevarle las maletas.
He came at about four o'clock.,Él vino a eso de las cuatro.
I want to eat something good.,Quiero comer algo bueno.
Give me your phone number.,Dame tu número de teléfono.
This book is unique in many ways.,Este libro es único en muchos sentidos.
Does she speak French?,¿Habla ella francés?
It seems worthless.,Parece no tener ningún valor.
I'm good at tennis.,Soy bueno para el tenis.
Did you eat the rest of the almonds?,¿Te comiste el resto de las almendras?
There are some cookies in the jar.,Hay unas galletas en la jarra.
Do you have a brother?,¿Tienes un hermano?
I think I need some more time.,Creo que necesito algo más de tiempo.
Is that normal?,¿Es esto normal?
Tomorrow I'll go out with friends after having lunch.,Mañana saldré con unos amigos después de comer.
You could search the world over and never find another woman more beautiful than Mary.,Podrías buscar por todo el mundo y nunca encontrar a otra mujer más hermosa que Mary.
I'd rather stay.,Preferiría quedarme.
Tom is washing his face.,Tom se está lavando la cara.
Do you want me to be your bodyguard?,¿Quieres que yo sea tu guardaespaldas?
They shouted as loudly as they could.,Ellos gritaron tan fuerte como pudieron.
The Colosseum is one of Rome's most famous landmarks.,El Coliseo es uno de los monumentos más famosos de Roma.
Stay a while and listen.,Quédate un rato y escucha.
Tom doesn't know how to treat his employees properly.,Tom no sabe tratar apropiadamente a sus empleados.
Tom has visited Boston three times.,Tom ha visitado Boston tres veces.
Close your books.,Cierren sus libros.
Is this the right bus for Boston?,¿Este es el autobús hacia Boston?
Our teacher is a real idiot.,Nuestra maestra es una verdadera idiota.
Where does this train go?,¿Adónde va este tren?
Please help yourself to any food you like.,Toma cualquier cosa que te apetezca de comer.
I’m going to wash my face.,Me voy a lavar la cara.
Are you drunk?,¿Estás embriagado?
He wouldn't allow me to drive his car.,Él no me dejaría conducir su coche.
I wish I was young again.,Desearía ser joven otra vez.
We have little money available for the research.,Nosotros tenemos pocos fondos disponibles para la investigación.
She wished her mother would not be mad at her.,Deseó que su madre no estuviera enfadada con ella.
Tom hopes it won't be cloudy tomorrow.,Tom espera que no sea nublado mañana.
This song reminds me of my childhood.,Esta canción me recuerda a mi infancia.
Nobody can make pizza as well as Tom can.,Nadie puede hacer pizza tan bien como Tom.
She teaches English to advanced students.,Ella enseña inglés a estudiantes avanzados.
Who doesn't do that?,¿Quién no lo hace?
The roses in my garden are beautiful.,La rosas de mi jardín son preciosas.
I don't think that Tom is busy.,No creo que Tom esté ocupado.
"Sorry, that's a typo.","Perdón, es un error mecanográfico."
None of my students failed.,Ninguno de mis estudiantes reprobó.
I'll stay if it rains.,Me quedaré si llueve.
"Your room number, please.","Su número de habitación, por favor."
